item_id,brand,brand_type,category
1,1,Established,Grocery
2,1,Established,Miscellaneous
3,56,Local,Bakery
4,56,Local,Grocery
5,56,Local,Grocery
6,56,Local,Grocery
7,56,Local,Pharmaceutical
8,56,Local,Bakery
9,11,Local,Grocery
10,56,Local,Grocery
11,21,Established,Pharmaceutical
12,56,Local,Grocery
13,1,Established,Grocery
14,56,Local,Grocery
15,56,Local,Grocery
16,56,Local,Grocery
17,56,Local,Grocery
18,56,Local,Grocery
19,56,Local,Pharmaceutical
20,56,Local,Grocery
21,56,Local,Grocery
22,56,Local,Grocery
23,56,Local,Grocery
24,56,Local,Grocery
25,56,Local,Grocery
26,56,Local,Grocery
27,56,Local,Grocery
28,56,Local,Grocery
29,56,Local,Grocery
30,56,Local,Grocery
31,56,Local,Grocery
32,56,Local,Grocery
33,56,Local,Grocery
34,56,Local,Grocery
35,56,Local,Grocery
36,56,Local,Grocery
37,56,Local,Grocery
38,56,Local,Grocery
39,56,Local,Grocery
40,56,Local,Grocery
41,56,Local,Grocery
42,56,Local,Grocery
43,56,Local,Grocery
44,56,Local,Grocery
45,56,Local,Grocery
46,56,Local,Grocery
47,56,Local,Grocery
48,56,Local,Packaged Meat
49,56,Local,Grocery
50,56,Local,Grocery
51,56,Local,Seafood
52,56,Local,Grocery
53,56,Local,Bakery
54,56,Local,Seafood
55,56,Local,Grocery
56,56,Local,Bakery
57,56,Local,Grocery
58,56,Local,Grocery
59,56,Local,Natural Products
60,56,Local,Packaged Meat
61,56,Local,Grocery
62,56,Local,Grocery
63,56,Local,Grocery
64,56,Local,Grocery
65,56,Local,Natural Products
66,56,Local,Grocery
67,56,Local,Grocery
68,56,Local,Grocery
69,56,Local,Bakery
70,56,Local,Grocery
71,162,Established,Grocery
72,56,Local,Grocery
73,162,Established,Grocery
74,56,Local,Seafood
75,56,Local,Grocery
76,209,Established,Grocery
77,278,Established,Grocery
78,56,Local,Grocery
79,56,Local,Grocery
80,56,Local,Grocery
81,278,Established,Grocery
82,56,Local,Grocery
83,56,Local,Grocery
84,56,Local,Grocery
85,56,Local,Grocery
86,162,Established,Grocery
87,56,Local,Seafood
88,56,Local,Natural Products
89,56,Local,Seafood
90,56,Local,Grocery
91,56,Local,Pharmaceutical
92,56,Local,Grocery
93,56,Local,Pharmaceutical
94,56,Local,Grocery
95,105,Established,Grocery
96,56,Local,Pharmaceutical
97,162,Established,Grocery
98,487,Established,Grocery
99,162,Established,Grocery
100,25,Established,Grocery
101,56,Local,Grocery
102,162,Established,Grocery
103,189,Established,Pharmaceutical
104,56,Local,Grocery
105,487,Established,Grocery
106,56,Local,Grocery
107,4700,Established,Grocery
108,365,Established,"Dairy, Juices & Snacks"
109,363,Established,Grocery
110,56,Local,Grocery
111,209,Established,Grocery
112,56,Local,Grocery
113,172,Established,Grocery
114,524,Established,Grocery
115,10,Established,"Dairy, Juices & Snacks"
116,971,Established,Grocery
117,56,Local,Bakery
118,56,Local,Grocery
119,316,Established,Pharmaceutical
120,619,Established,Pharmaceutical
121,619,Established,Pharmaceutical
122,971,Established,Grocery
123,56,Local,Grocery
124,475,Established,Grocery
125,634,Established,Grocery
126,619,Established,Pharmaceutical
