id,campaign_id,coupon_id,customer_id,redemption_status
1,13,27,1053,0
2,13,116,48,0
6,9,635,205,0
7,13,644,1050,0
9,8,1017,1489,0
11,11,795,793,0
14,9,444,590,0
15,29,538,368,0
17,30,857,523,0
19,2,559,679,0
20,9,575,108,0
21,13,1028,89,0
22,9,705,712,0
23,13,517,1067,0
24,5,893,761,0
25,13,796,248,0
26,11,506,1464,0
27,5,689,186,0
28,13,268,1152,0
29,8,8,695,0
30,8,674,886,0
32,30,320,1255,0
33,12,109,553,0
34,8,278,1398,0
35,13,1031,1031,0
39,26,326,63,0
42,30,363,88,0
43,8,911,197,0
45,8,383,1095,0
46,13,482,1096,0
48,26,813,919,0
51,13,118,917,0
52,5,663,828,0
54,30,332,958,0
55,30,500,91,0
56,8,757,1447,0
58,30,1067,124,0
61,8,87,661,0
62,26,905,648,0
63,13,1114,1381,0
65,13,152,680,0
66,8,57,72,0
69,8,383,883,0
71,8,271,1366,0
72,13,413,276,1
74,26,582,578,0
75,30,333,895,0
77,13,485,861,0
79,30,256,1383,0
80,11,980,1351,0
82,29,538,1162,0
83,8,700,19,0
84,2,628,384,0
85,13,136,200,0
86,29,750,113,0
88,26,854,1210,0
90,8,761,341,0
91,8,383,1475,0
92,3,828,998,0
93,13,881,1418,0
95,13,129,1444,0
97,26,867,321,0
99,8,709,372,0
101,13,169,888,0
102,8,8,659,0
103,30,1083,340,0
104,13,530,657,0
106,3,822,998,0
107,13,126,590,0
110,8,700,1044,0
113,26,917,435,0
115,12,109,416,0
117,13,22,741,0
118,13,960,572,0
121,13,24,1214,0
122,8,772,166,0
123,13,603,1152,0
124,29,982,278,0
125,13,510,379,0
129,13,982,1005,0
130,13,132,1241,0
131,8,60,1202,0
134,12,1063,1025,0
135,13,166,814,0
136,13,679,619,0
137,3,839,998,0
139,4,459,15,0
141,8,658,638,0
142,10,106,1582,0
144,13,168,310,0
146,8,473,8,0
151,8,627,95,0
152,13,145,932,0
154,8,7,1195,0
155,12,109,1232,0
156,13,667,1096,0
158,30,924,1383,0
159,29,621,569,0
160,8,761,640,0
161,13,467,1003,0
164,29,985,1029,0
165,13,171,644,0
167,13,1056,526,0
169,13,890,745,0
170,13,920,1136,0
171,5,279,1491,0
172,30,948,1534,0
176,8,383,80,0
179,26,368,1174,0
180,12,107,879,0
181,9,19,608,0
182,9,19,755,0
183,29,800,1099,0
184,13,420,1118,0
186,13,756,582,0
187,12,783,686,0
188,7,687,441,0
192,11,913,666,0
193,8,725,1233,0
194,13,483,434,0
195,8,674,1369,0
196,13,275,1303,0
197,9,788,155,0
198,13,170,736,0
200,8,14,1410,0
202,13,1083,607,0
205,29,416,874,0
206,5,689,44,0
207,8,54,1201,0
208,13,113,1306,0
209,13,125,900,0
213,8,902,28,0
214,12,526,42,0
215,13,144,538,0
217,11,506,106,0
218,8,554,1082,0
219,26,936,212,0
220,11,971,1324,0
221,30,872,871,0
222,29,873,501,0
224,29,643,1229,0
225,8,433,343,0
228,29,538,634,0
230,13,131,754,0
231,4,591,41,0
233,13,608,206,0
238,29,800,131,0
239,8,723,1145,0
240,8,76,612,0
241,13,152,1351,0
242,29,696,992,0
243,8,544,1307,0
247,13,148,936,0
250,8,97,389,0
254,7,687,532,0
255,12,819,1026,0
259,13,673,403,0
260,13,123,718,0
261,8,490,38,0
262,8,55,1246,0
264,9,989,569,0
265,8,83,176,0
266,8,437,1449,0
267,3,836,725,0
269,8,806,866,0
270,13,891,1173,0
273,9,870,384,0
275,13,132,835,0
277,13,542,923,0
279,8,64,125,0
282,13,1114,694,0
283,30,646,1192,0
284,30,566,1462,0
286,11,913,1058,0
287,9,520,1339,0
290,11,910,430,0
291,11,913,1489,0
292,13,467,1192,0
293,8,581,191,0
295,8,537,1031,0
298,8,656,1236,0
299,13,960,467,1
301,10,996,726,0
304,11,1012,1199,0
305,8,759,932,0
306,11,1044,1332,0
307,8,616,402,0
308,8,883,1446,0
309,8,658,1292,0
313,13,754,93,0
316,8,430,835,0
